[2026-03-08 11:04:52.219] | GET | Unknown/Unknown | User: נעמה וויג | Status: 404 | Duration: 0ms
[2026-03-08 11:08:27.895] | GET | Auth/LoginGoogle | User: נעמה וויג | Status: 302 | Duration: 37ms
[2026-03-08 11:08:32.234] | GET | Auth/GoogleResponse | User: נעמה וויג | Status: 302 | Duration: 102ms
[2026-03-08 11:08:33.020] | POST | Unknown/Unknown | User: נעמה וויג | Status: 200 | Duration: 6ms
[2026-03-08 11:08:33.105] | GET | LibraryBook/GetAll | User: Naama Veig | Status: 200 | Duration: 13ms
[2026-03-08 11:08:33.212] | GET | LibraryBook/GetAll | User: Naama Veig | Status: 200 | Duration: 2ms
[2026-03-08 11:08:33.034] | GET | Unknown/Unknown | User: נעמה וויג | Status: 101 | Duration: 19323ms
[2026-03-08 11:08:54.235] | GET | Auth/LoginGoogle | User: נעמה וויג | Status: 302 | Duration: 2ms
[2026-03-08 11:08:57.494] | GET | Auth/GoogleResponse | User: משפחת וויג | Status: 302 | Duration: 3ms
[2026-03-08 11:08:58.026] | POST | Unknown/Unknown | User: משפחת וויג | Status: 200 | Duration: 0ms
[2026-03-08 11:08:58.028] | GET | LibraryBook/GetAll | User: Naama Weig | Status: 200 | Duration: 1ms
[2026-03-08 11:08:58.304] | GET | LibraryBook/GetAll | User: Naama Weig | Status: 200 | Duration: 1ms
[2026-03-08 11:09:07.629] | GET | Users/GetAll | User: Naama Weig | Status: 200 | Duration: 14ms
[2026-03-08 11:09:07.648] | GET | Users/GetAll | User: Naama Weig | Status: 200 | Duration: 0ms
[2026-03-08 11:08:58.037] | GET | Unknown/Unknown | User: משפחת וויג | Status: 101 | Duration: 9626ms
[2026-03-08 11:09:29.206] | PUT | Users/Update | User: Naama Weig | Status: 204 | Duration: 36ms
[2026-03-08 11:09:29.250] | GET | Users/GetAll | User: Naama Weig | Status: 200 | Duration: 0ms
[2026-03-08 11:09:41.185] | PUT | Users/Update | User: Naama Weig | Status: 204 | Duration: 2ms
[2026-03-08 11:09:41.199] | GET | Users/GetAll | User: Naama Weig | Status: 200 | Duration: 1ms
[2026-03-08 11:11:45.081] | GET | Auth/LoginGoogle | User: משפחת וויג | Status: 302 | Duration: 0ms
[2026-03-08 11:11:49.111] | GET | Auth/GoogleResponse | User: נעמה וויג | Status: 302 | Duration: 3ms
[2026-03-08 11:11:49.566] | POST | Unknown/Unknown | User: נעמה וויג | Status: 200 | Duration: 0ms
[2026-03-08 11:11:49.570] | GET | LibraryBook/GetAll | User: Naama weig | Status: 200 | Duration: 0ms
[2026-03-08 11:11:49.582] | GET | LibraryBook/GetAll | User: Naama weig | Status: 200 | Duration: 0ms
[2026-03-08 11:12:23.161] | PUT | LibraryBook/Update | User: Naama weig | Status: 204 | Duration: 24ms
[2026-03-08 11:12:23.190] | GET | LibraryBook/GetAll | User: Naama weig | Status: 200 | Duration: 1ms
[2026-03-08 11:13:19.550] | PUT | LibraryBook/Update | User: Naama weig | Status: 204 | Duration: 9ms
[2026-03-08 11:13:19.569] | GET | LibraryBook/GetAll | User: Naama weig | Status: 200 | Duration: 2ms
[2026-03-08 11:14:32.566] | PUT | LibraryBook/Update | User: Naama weig | Status: 204 | Duration: 7ms
[2026-03-08 11:14:32.586] | GET | LibraryBook/GetAll | User: Naama weig | Status: 200 | Duration: 2ms
[2026-03-08 11:14:57.161] | PUT | LibraryBook/Update | User: Naama weig | Status: 204 | Duration: 4ms
[2026-03-08 11:14:57.176] | GET | LibraryBook/GetAll | User: Naama weig | Status: 200 | Duration: 1ms
[2026-03-08 11:15:18.682] | PUT | LibraryBook/Update | User: Naama weig | Status: 204 | Duration: 7ms
[2026-03-08 11:15:18.698] | GET | LibraryBook/GetAll | User: Naama weig | Status: 200 | Duration: 1ms
[2026-03-08 11:15:45.353] | PUT | LibraryBook/Update | User: Naama weig | Status: 204 | Duration: 6ms
[2026-03-08 11:15:45.366] | GET | LibraryBook/GetAll | User: Naama weig | Status: 200 | Duration: 0ms
[2026-03-08 11:15:55.940] | GET | Users/GetAll | User: Naama weig | Status: 200 | Duration: 1ms
[2026-03-08 11:15:55.951] | GET | Users/GetAll | User: Naama weig | Status: 200 | Duration: 0ms
[2026-03-08 11:11:49.589] | GET | Unknown/Unknown | User: נעמה וויג | Status: 101 | Duration: 246389ms
[2026-03-08 11:16:19.411] | PUT | Users/Update | User: Naama weig | Status: 204 | Duration: 1ms
[2026-03-08 11:16:19.422] | GET | Users/GetAll | User: Naama weig | Status: 200 | Duration: 1ms
[2026-03-08 11:16:53.023] | PUT | Users/Update | User: Naama weig | Status: 204 | Duration: 5ms
[2026-03-08 11:16:53.036] | GET | Users/GetAll | User: Naama weig | Status: 200 | Duration: 0ms
